gbifID,institutionCode,collectionCode,basisOfRecord,eventDate,year,month,day,decimalLatitude,decimalLongitude,kingdom,phylum,class,order,family,genus,species,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Name,level2Name,iucnRedListCategory
1320048585,USNM,MAMM,PRESERVED_SPECIMEN,3/16/67,1967,3,16,8.9,8.28,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Funisciurus,Funisciurus anerythrus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Nasarawa,Akwanga,LC
1320048532,USNM,MAMM,PRESERVED_SPECIMEN,6/10/66,1966,6,10,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Mops,Mops condylurus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,LC
1320044283,USNM,MAMM,PRESERVED_SPECIMEN,3/28/67,1967,3,28,9.52,8.38,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mastomys,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kaduna,Kaura,NE
1320042741,USNM,MAMM,PRESERVED_SPECIMEN,6/10/66,1966,6,10,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Mops,Mops condylurus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,LC
1320042559,USNM,MAMM,PRESERVED_SPECIMEN,5/5/67,1967,5,5,8.32,4.52,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kwara,Asa,LC
1320032140,USNM,MAMM,PRESERVED_SPECIMEN,6/12/66,1966,6,12,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus landeri,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,LC
1320030161,USNM,MAMM,PRESERVED_SPECIMEN,5/10/67,1967,5,10,8.32,4.52,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbilliscus,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kwara,Asa,NE
1320029164,USNM,MAMM,PRESERVED_SPECIMEN,3/18/67,1967,3,18,8.9,8.28,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Heliosciurus,Heliosciurus gambianus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Nasarawa,Akwanga,LC
1320027663,USNM,MAMM,PRESERVED_SPECIMEN,10/25/66,1966,10,25,7.48,5.23,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Coleura,Coleura afra,AFRICA,NORTH_AMERICA,NGA,Nigeria,Ekiti,Ikere,LC
1320024735,USNM,MAMM,PRESERVED_SPECIMEN,4/13/67,1967,4,13,9.45,9.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Grammomys,Grammomys dolichurus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Plateau,Mangu,LC
1320024713,USNM,MAMM,PRESERVED_SPECIMEN,3/5/67,1967,3,5,9.27,5.33,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Epomophorus,Epomophorus gambianus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Mokwa,LC
1320024088,USNM,MAMM,PRESERVED_SPECIMEN,5/17/67,1967,5,17,7.85,6.72,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Chaerephon,Chaerephon pumilus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kogi,Lokoja,LC
1320023157,USNM,MAMM,PRESERVED_SPECIMEN,4/10/67,1967,4,10,9.45,9.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Lemniscomys,Lemniscomys zebra,AFRICA,NORTH_AMERICA,NGA,Nigeria,Plateau,Mangu,LC
1320020564,USNM,MAMM,PRESERVED_SPECIMEN,6/16/68,1968,6,16,6.65,2.8,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculoides,AFRICA,NORTH_AMERICA,NGA,Nigeria,Ogun,Ipokia,LC
1320016219,USNM,MAMM,PRESERVED_SPECIMEN,3/18/67,1967,3,18,8.9,8.28,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Heliosciurus,Heliosciurus gambianus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Nasarawa,Akwanga,LC
1320013665,USNM,MAMM,PRESERVED_SPECIMEN,4/12/67,1967,4,12,9.45,9.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Dasymys,Dasymys foxi,AFRICA,NORTH_AMERICA,NGA,Nigeria,Plateau,Mangu,DD
1320006955,USNM,MAMM,PRESERVED_SPECIMEN,4/13/67,1967,4,13,9.45,9.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Arvicanthis,Arvicanthis niloticus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Plateau,Mangu,LC
1319989445,USNM,MAMM,PRESERVED_SPECIMEN,6/1/67,1967,6,1,11.57,4.48,Animalia,Chordata,Mammalia,Rodentia,Muridae,Dasymys,Dasymys rufulus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kebbi,Koko/Besse,LC
1319988682,USNM,MAMM,PRESERVED_SPECIMEN,12/8/65,1965,12,8,9.47,9.2,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus capensis,AFRICA,NORTH_AMERICA,NGA,Nigeria,Plateau,Mangu,LC
1319984573,USNM,MAMM,PRESERVED_SPECIMEN,6/18/68,1968,6,18,6.65,2.8,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,Cercopithecus mona,AFRICA,NORTH_AMERICA,NGA,Nigeria,Ogun,Ipokia,NT
1319977600,USNM,MAMM,PRESERVED_SPECIMEN,4/10/67,1967,4,10,9.45,9.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus haussa,AFRICA,NORTH_AMERICA,NGA,Nigeria,Plateau,Mangu,LC
1319974418,USNM,MAMM,PRESERVED_SPECIMEN,3/15/67,1967,3,15,8.9,8.28,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mastomys,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Nasarawa,Akwanga,NE
1319974074,USNM,MAMM,PRESERVED_SPECIMEN,6/12/67,1967,6,12,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,NE
1319972707,USNM,MAMM,PRESERVED_SPECIMEN,6/12/67,1967,6,12,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,NE
1319966354,USNM,MAMM,PRESERVED_SPECIMEN,3/11/67,1967,3,11,8.9,8.28,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mastomys,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Nasarawa,Akwanga,NE
1319964661,USNM,MAMM,PRESERVED_SPECIMEN,3/31/67,1967,3,31,9.52,8.38,Animalia,Chordata,Mammalia,Rodentia,Muridae,Praomys,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kaduna,Kaura,NE
1319964313,USNM,MAMM,PRESERVED_SPECIMEN,6/13/67,1967,6,13,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus landeri,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,LC
1319964249,USNM,MAMM,PRESERVED_SPECIMEN,3/26/67,1967,3,26,9.52,8.38,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mastomys,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kaduna,Kaura,NE
1319962068,USNM,MAMM,PRESERVED_SPECIMEN,6/16/68,1968,6,16,6.65,2.8,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculoides,AFRICA,NORTH_AMERICA,NGA,Nigeria,Ogun,Ipokia,LC
